"Name","CurrentGroup","TargetMuscle","SuggestedGroup","NeedsUpdate"
"Lying Floor Leg Raise Video Exercise Guide","abs","Abs","abs","False"
"Cable Crunch Video Exercise Guide","abs","Abs","abs","False"
"Weighted Crunch Video Exercise Guide","abs","Abs","abs","False"
"Plank Video Exercise Guide","abs","Abs","abs","False"
"Ab Crunch Video Exercise Guide","abs","Abs","abs","False"
"Hanging Leg Raise Video Exercise Guide","abs","Abs","abs","False"
"Sit Up Video Exercise Guide","abs","Abs","abs","False"
"Side Plank Video Exercise Guide","abs","Abs","abs","False"
"Barbell Abdominal Rollouts Video Exercise Guide","abs","Abs","abs","False"
"Rotating Mountain Climber Video Exercise Guide","abs","Abs","abs","False"
"Decline Bench Sit Up Video Exercise Guide","abs","Abs","abs","False"
"Hanging Knee Raise Video Exercise Guide","abs","Abs","abs","False"
"Floor Crunch (legs on bench) Video Exercise Guide","abs","Abs","abs","False"
"Exercise Ball Crunch Video Exercise Guide","abs","Abs","abs","False"
"Russian Twist Video Exercise Guide","abs","Abs","abs","False"
"Abdominal Air Bike (AKA Bicycle) Video Exercise Guide","abs","Abs","abs","False"
"Lying Leg Raise (On Bench) Video Exercise Guide","abs","Abs","abs","False"
"Pallof Press Video Exercise Guide","abs","Abs","abs","False"
"Standing Stomach Vacuum Video Exercise Guide","abs","Abs","abs","False"
"Hanging Knee Raise With Twist Video Exercise Guide","abs","Abs","abs","False"
"Turkish Get Up Video Exercise Guide","abs","Abs","abs","False"
"Seated Knee Tucks Video Exercise Guide","abs","Abs","abs","False"
"Alternate Straight Leg Lower Video Exercise Guide","abs","Abs","abs","False"
"Plank to Hip Raise Video Exercise Guide","abs","Abs","abs","False"
"Dead Bug Video Exercise Guide","abs","Abs","abs","False"
"Straight Leg Toe Touch (Floor Toe Reach) Video Exercise Guide","abs","Abs","abs","False"
"Lying Floor Knee Tuck Video Exercise Guide","abs","Abs","abs","False"
"Pallof Press with Rotation Video Exercise Guide","abs","Abs","abs","False"
"Roman Chair Leg Raise Video Exercise Guide","abs","Abs","abs","False"
"Twisting Crunch Video Exercise Guide","abs","Abs","abs","False"
"Abominal Hip Thrust Video Exercise Guide","abs","Abs","abs","False"
"Alternating Lying Leg Raise Video Exercise Guide","abs","Abs","abs","False"
"Weighted Russian Twist Video Exercise Guide","abs","Abs","abs","False"
"Frog Sit Up Video Exercise Guide","abs","Abs","abs","False"
"Half Kneeling Pallof Press Video Exercise Guide","abs","Abs","abs","False"
"Hollow Body Hold Video Exercise Guide","abs","Abs","abs","False"
"Kettlebell Dead Bug Video Exercise Guide","abs","Abs","abs","False"
"Lying Knee Tuck to Heel Raise Video Exercise Guide","abs","Abs","abs","False"
"Ipsilateral Bird Dog Video Exercise Guide","abs","Abs","abs","False"
"Rotating Crunch (Legs On Bench) Video Exercise Guide","abs","Abs","abs","False"
"Standing Cable Crunch Video Exercise Guide","abs","Abs","abs","False"
"Reverse Crunch to Dead Bug Video Exercise Guide","abs","Abs","abs","False"
"Feet Elevated Plank Video Exercise Guide","abs","Abs","abs","False"
"Bird Dog with Band RNT Video Exercise Guide","abs","Abs","abs","False"
"Lying Leg Raise With Hip Thrust Video Exercise Guide","abs","Abs","abs","False"
"Medicine Ball Dead Bug Video Exercise Guide","abs","Abs","abs","False"
"Hands Overhead Ab Crunch Video Exercise Guide","abs","Abs","abs","False"
"Abdominal Pendulum Video Exercise Guide","abs","Abs","abs","False"
"Decline Bench Leg Raise Video Exercise Guide","abs","Abs","abs","False"
"Contralateral Bird Dog Video Exercise Guide","abs","Abs","abs","False"
"Side Crunch With Leg Lift Video Exercise Guide","abs","Abs","abs","False"
"Dragon Flag Video Exercise Guide","abs","Abs","abs","False"
"Split Stance Pallof Press Video Exercise Guide","abs","Abs","abs","False"
"3 Month Position Kettlebell Pullover Video Exercise Guide","abs","Abs","abs","False"
"Kettlebell Windmill Video Exercise Guide","abs","Abs","abs","False"
"Lying Alternate Heel Touches Video Exercise Guide","abs","Abs","abs","False"
"Decline Weighted Sit Up with Twist Video Exercise Guide","abs","Abs","abs","False"
"Shoulder Taps Video Exercise Guide","abs","Abs","abs","False"
"Oblique Cable Crunch Video Exercise Guide","abs","Abs","abs","False"
"Decline Weighted Twist Video Exercise Guide","abs","Abs","abs","False"
"Jackknife (On Bench) Video Exercise Guide","abs","Abs","abs","False"
"Barbell Side Bends Video Exercise Guide","abs","Abs","abs","False"
"Valslide Body Saw Video Exercise Guide","abs","Abs","abs","False"
"Decline Bench Abdominal Reach Video Exercise Guide","abs","Abs","abs","False"
"Weighted Straight Leg Toe Touch Video Exercise Guide","abs","Abs","abs","False"
"Stir the Pot on Exercise Ball Video Exercise Guide","abs","Abs","abs","False"
"Exercise Ball Knee Tuck Video Exercise Guide","abs","Abs","abs","False"
"Dead Bug with Plates Video Exercise Guide","abs","Abs","abs","False"
"Exercise Ball Plank Video Exercise Guide","abs","Abs","abs","False"
"Standing Push-Pull Video Exercise Guide","abs","Abs","abs","False"
"Lower Body Band Resistance Dead Bug Video Exercise Guide","abs","Abs","abs","False"
"Roman Chair Knee Raise Video Exercise Guide","abs","Abs","abs","False"
"Decline Bench Cable Crunch Video Exercise Guide","abs","Abs","abs","False"
"Decline Bench Knee Raise Video Exercise Guide","abs","Abs","abs","False"
"Turkish Get Up to Knee Video Exercise Guide","abs","Abs","abs","False"
"Reach And Catch Video Exercise Guide","abs","Abs","abs","False"
"Alternating Reach And Catch Video Exercise Guide","abs","Abs","abs","False"
"Decline Bench Alternating Leg Raise Video Exercise Guide","abs","Abs","abs","False"
"Medicine Ball Rollouts Video Exercise Guide","abs","Abs","abs","False"
"Seated Cable Crunch Video Exercise Guide","abs","Abs","abs","False"
"Exercise Ball Weighted Sit up Video Exercise Guide","abs","Abs","abs","False"
"Exercise Ball Dead Bug Video Exercise Guide","abs","Abs","abs","False"
"Decline Bench Alternating Knee Raise Video Exercise Guide","abs","Abs","abs","False"
"Glute Bridge Pallof Press Video Exercise Guide","abs","Abs","abs","False"
"Lying Cable Crunch Video Exercise Guide","abs","Abs","abs","False"
"Bottoms Up Kettlebell Turkish Get Up Video Exercise Guide","abs","Abs","abs","False"
"Weighted Hanging Knee Raise Video Exercise Guide","abs","Abs","abs","False"
"Kneeling Dumbbell Hold to Stand Video Exercise Guide","abs","Abs","abs","False"
"Roman Chair Weighted Knee Raise Video Exercise Guide","abs","Abs","abs","False"
"One-Leg Lying Cable Knee Raise Video Exercise Guide","abs","Abs","abs","False"
"Standing Barbell Twist Video Exercise Guide","abs","Abs","abs","False"
"Exercise Ball Hip Roll Video Exercise Guide","abs","Abs","abs","False"
"Lower Abdominal Hip Roll Video Exercise Guide","abs","Abs","abs","False"
"Banded Alphabet Video Exercise Guide","abs","Abs","abs","False"
"Half Kneeling Push-Pull Video Exercise Guide","abs","Abs","abs","False"
"Twisting Lying Cable Crunch Video Exercise Guide","abs","Abs","abs","False"
"Tall Kneeling Push-Pull Video Exercise Guide","abs","Abs","abs","False"
"Twisting Cable Crunch Video Exercise Guide","abs","Abs","abs","False"
"Wide Stance Cable Anti-Rotation Video Exercise Guide","abs","Abs","abs","False"
"Decline Leg Raise With Hip Thrust Video Exercise Guide","abs","Abs","abs","False"
"Upper Body Band Resistance Dead Bug Video Exercise Guide","abs","Abs","abs","False"
"Roman Chair Twisting Knee Raise Video Exercise Guide","abs","Abs","abs","False"
"Lying Cable Knee Raise Video Exercise Guide","abs","Abs","abs","False"
"Bottoms Up Kettlebell Turkish Get Up to Hand Video Exercise Guide","abs","Abs","abs","False"
"Lying Alternating Knee Raise Video Exercise Guide","abs","Abs","abs","False"
"Straight Leg Dead Bug Video Exercise Guide","abs","Abs","abs","False"
"Half Kneeling Adductor Pallof Press Video Exercise Guide","abs","Abs","abs","False"
"Decline Bench Cable Knee Raise Video Exercise Guide","abs","Abs","abs","False"
"Bottoms Up Kettlebell Turkish Get Up to Knee Video Exercise Guide","abs","Abs","abs","False"
"Turkish Get Up to Hand Video Exercise Guide","abs","Abs","abs","False"
"Barbell Climbs Video Exercise Guide","abs","Abs","abs","False"
"Decline Bench Sit Up With Twist Video Exercise Guide","abs","Abs","abs","False"
"Wall Press 90/90 Extension Video Exercise Guide","abs","Abs","abs","False"
"Lying Pallof Press Video Exercise Guide","abs","Abs","abs","False"
"Wall Press Heel Tap Video Exercise Guide","abs","Abs","abs","False"
"Wall Press Straight Leg Extension Video Exercise Guide","abs","Abs","abs","False"
"Bent Over Row Video Exercise Guide","barbell","Upper Back","middle-back","True"
"Military Press (AKA Overhead Press) Video Exercise Guide","barbell","Shoulders","shoulders","True"
"Barbell Back Squat Video Exercise Guide","barbell","Quads","quads","True"
"Deadlift Video Exercise Guide","barbell","Hamstrings","hamstrings","True"
"Barbell Bench Press Video Exercise Guide","barbell","Chest","chest","True"
"Romanian Deadlift (AKA RDL) Video Exercise Guide","barbell","Hamstrings","hamstrings","True"
"French Press Video Exercise Guide","barbell","Triceps","triceps","True"
"Incline Bench Press Video Exercise Guide","barbell","Chest","chest","True"
"Stiff Leg Deadlift Video Exercise Guide","barbell","Hamstrings","hamstrings","True"
"Barbell Hip Thrust Video Exercise Guide","barbell","Glutes","glutes","True"
"Barbell Upright Row Video Exercise Guide","barbell","Traps","traps","True"
"Standing Barbell Curl Video Exercise Guide","barbell","Biceps","biceps","True"
"EZ Bar Preacher Curl Video Exercise Guide","barbell","Biceps","biceps","True"
"Lying Barbell Tricep Extension (Skull Crusher) Video Exercise Guide","barbell","Triceps","triceps","True"
"Seated Barbell Shoulder Press Video Exercise Guide","barbell","Shoulders","shoulders","True"
"T-Bar Row Video Exercise Guide","barbell","Upper Back","middle-back","True"
"Close Grip Bench Press Video Exercise Guide","barbell","Triceps","triceps","True"
"Seated Behind the Neck Shoulder Press Video Exercise Guide","barbell","Shoulders","shoulders","True"
"Seated Barbell Wrist Curl Video Exercise Guide","barbell","Forearms","forearms","True"
"Good Mornings Video Exercise Guide","barbell","Glutes","glutes","True"
"Decline Bench Press Video Exercise Guide","barbell","Chest","chest","True"
"EZ Bar Curl Video Exercise Guide","barbell","Biceps","biceps","True"
"Barbell Preacher Curl Video Exercise Guide","barbell","Biceps","biceps","True"
"45 Degree Lying Tricep Extension Video Exercise Guide","barbell","Triceps","triceps","True"
"Sumo Deadlift Video Exercise Guide","barbell","Hamstrings","hamstrings","True"
"Front Squat Video Exercise Guide","barbell","Quads","quads","True"
"Barbell Shrug Video Exercise Guide","barbell","Traps","traps","True"
"Reverse Grip Barbell Curl Video Exercise Guide","barbell","Forearms","forearms","True"
"Barbell Front Raise Video Exercise Guide","barbell","Shoulders","shoulders","True"
"Behind-The-Back Barbell Wrist Curl Video Exercise Guide","barbell","Forearms","forearms","True"
"Standing Barbell Calf Raise Video Exercise Guide","barbell","Calves","calves","True"
"Seated French Press Video Exercise Guide","barbell","Triceps","triceps","True"
"Spider Curl Video Exercise Guide","barbell","Biceps","biceps","True"
"Barbell Reverse Lunge Video Exercise Guide","barbell","Quads","quads","True"
"Reverse Grip Bent Over Row Video Exercise Guide","barbell","Upper Back","middle-back","True"
"Barbell Glute Bridge Video Exercise Guide","barbell","Glutes","glutes","True"
"Barbell Lunge Video Exercise Guide","barbell","Quads","quads","True"
"Incline Skull Crusher Video Exercise Guide","barbell","Triceps","triceps","True"
"Pendlay Row Video Exercise Guide","barbell","Upper Back","middle-back","True"
"Reverse Grip Barbell Wrist Curl (Over Bench) Video Exercise Guide","barbell","Forearms","forearms","True"
"Wide Grip Upright Row Video Exercise Guide","barbell","Traps","traps","True"
"Seated Barbell Twist Video Exercise Guide","barbell","Obliques","obliques","True"
"Z Press Video Exercise Guide","barbell","Shoulders","shoulders","True"
"One-Arm Landmine Row Video Exercise Guide","barbell","Upper Back","middle-back","True"
"Barbell Sumo Squat Video Exercise Guide","barbell","Quads","quads","True"
"Barbell Drag Curl Video Exercise Guide","barbell","Biceps","biceps","True"
"Push Press Video Exercise Guide","barbell","Shoulders","shoulders","True"
"Barbell Walking Lunge Video Exercise Guide","barbell","Quads","quads","True"
"Good Mornings Off Pins Video Exercise Guide","barbell","Glutes","glutes","True"
"Barbell Hack Squat Video Exercise Guide","barbell","Quads","quads","True"
"Barbell Pullover Video Exercise Guide","barbell","Chest","chest","True"
"Barbell Clean and Press Video Exercise Guide","barbell","Shoulders","shoulders","True"
"Wide Grip Standing Barbell Curl Video Exercise Guide","barbell","Biceps","biceps","True"
"Wide Grip Barbell Bench Press Video Exercise Guide","barbell","Chest","chest","True"
"Close Grip Standing Barbell Curl Video Exercise Guide","barbell","Biceps","biceps","True"
"Zerchers Squat Video Exercise Guide","barbell","Quads","quads","True"
"Inline Bench French Press Video Exercise Guide","barbell","Triceps","triceps","True"
"Deep Front Squat Video Exercise Guide","barbell","Quads","quads","True"
"High Pull Video Exercise Guide","barbell","Traps","traps","True"
"Barbell Deep Squat Video Exercise Guide","barbell","Quads","quads","True"
"Barbell Jumping Squats Video Exercise Guide","barbell","Quads","quads","True"
"Floor Press Video Exercise Guide","barbell","Chest","chest","True"
"Incline Close Grip Bench Press Video Exercise Guide","barbell","Triceps","triceps","True"
"2 Board Bench Press Video Exercise Guide","barbell","Chest","chest","True"
"Barbell Box Squat Video Exercise Guide","barbell","Quads","quads","True"
"Overhead Barbell Shrug Video Exercise Guide","barbell","Traps","traps","True"
"Military Press Behind Neck Video Exercise Guide","barbell","Shoulders","shoulders","True"
"Incline Bench Barbell Row Video Exercise Guide","barbell","Upper Back","middle-back","True"
"Seated Good Mornings Video Exercise Guide","barbell","Glutes","glutes","True"
"Power Snatch Video Exercise Guide","barbell","Quads","quads","True"
"Seated Barbell Curl Video Exercise Guide","barbell","Biceps","biceps","True"
"Hang Clean Video Exercise Guide","barbell","Quads","quads","True"
"Narrow Stance High Bar Back Squat Video Exercise Guide","barbell","Quads","quads","True"
"Barbell Wide Stance Squat Video Exercise Guide","barbell","Quads","quads","True"
"Wide Reverse Grip Bench Press Video Exercise Guide","barbell","Chest","chest","True"
"Barbell Narrow Stance Squat Video Exercise Guide","barbell","Quads","quads","True"
"Seated Barbell Calf Raise Video Exercise Guide","barbell","Calves","calves","True"
"Standing Bradford Press (Rocky Press) Video Exercise Guide","barbell","Shoulders","shoulders","True"
"Clean Shrug Video Exercise Guide","barbell","Traps","traps","True"
"Barbell Pullover And Press Video Exercise Guide","barbell","Chest","chest","True"
"Guillotine Press Video Exercise Guide","barbell","Chest","chest","True"
"Barbell Sumo Romanian Deadlift Video Exercise Guide","barbell","Hamstrings","hamstrings","True"
"Reverse Grip Incline Bench Barbell Row Video Exercise Guide","barbell","Upper Back","middle-back","True"
"Wide Grip Incline Bench Press Video Exercise Guide","barbell","Chest","chest","True"
"Barbell Lateral Lunge Video Exercise Guide","barbell","Quads","quads","True"
"Barbell Thruster Video Exercise Guide","barbell","Quads","quads","True"
"Barbell Step Ups Video Exercise Guide","barbell","Quads","quads","True"
"1 Board Bench Press Video Exercise Guide","barbell","Chest","chest","True"
"Anderson Squat Video Exercise Guide","barbell","Quads","quads","True"
"Decline Close Grip Bench Press Video Exercise Guide","barbell","Triceps","triceps","True"
"Conventional Block Pull Deadlift Video Exercise Guide","barbell","Hamstrings","hamstrings","True"
"Front Barbell Step Up Video Exercise Guide","barbell","Quads","quads","True"
"Barbell Wrist Curl (Over Bench) Video Exercise Guide","barbell","Forearms","forearms","True"
"Barbell Quarter Squat Video Exercise Guide","barbell","Quads","quads","True"
"Reverse Grip Bench Press Video Exercise Guide","barbell","Chest","chest","True"
"Single Leg Good Morning Video Exercise Guide","barbell","Glutes","glutes","True"
"Barbell Concentration Curl Video Exercise Guide","barbell","Biceps","biceps","True"
"Single Leg Barbell Romanian Deadlift Video Exercise Guide","barbell","Hamstrings","hamstrings","True"
"Wide Stance Front Squat Video Exercise Guide","barbell","Quads","quads","True"
"Muscle Clean Video Exercise Guide","barbell","Quads","quads","True"
"Reverse Grip Incline Bench Press Video Exercise Guide","barbell","Chest","chest","True"
"Jefferson Deadlift Video Exercise Guide","barbell","Hamstrings","hamstrings","True"
"Stiff Leg Deadlift (On Bench) Video Exercise Guide","barbell","Hamstrings","hamstrings","True"
"Behind-The-Back Barbell Shrug Video Exercise Guide","barbell","Traps","traps","True"
"Reverse Grip Close Grip Bench Press Video Exercise Guide","barbell","Triceps","triceps","True"
"Power Clean Video Exercise Guide","barbell","Quads","quads","True"
"Sumo High Pull Video Exercise Guide","barbell","Traps","traps","True"
